sections: {'OS': 1, '0x0a01': 43, 'REGS': 9, 'INDEXED_REGS': 4, '0x0901': 2, '0x1201': 135, 'GMU_MEM': 38, 'MEMLIST_V2': 11, 'RB_V2': 2, 'MVC_V2': 2, 'IB_V2': 2, 'SIDEBAND2': 1}
total regs: 1625
  0x00000 = 0x000001a3  
  0x00001 = 0x09e0000c  
  0x00002 = 0x01622291  
  0x00010 = 0xdeafbead  
  0x00012 = 0x00000000  
  0x00018 = 0x00000000  
  0x00019 = 0x00000000  
  0x0001a = 0x00000030  
  0x0001b = 0x00000030  
  0x0001e = 0x00000000  
  0x0001f = 0x403fffff  
  0x00020 = 0x00000000  
  0x00021 = 0x00000000  
  0x00022 = 0x00000000  
  0x00023 = 0x00000000  
  0x00024 = 0x00000000  
  0x00025 = 0x00000000  
  0x00026 = 0x00000000  
  0x00027 = 0x00000000  
  0x00028 = 0x00000000  
  0x00029 = 0x00000000  
  0x0002a = 0x00000000  
  0x0002b = 0x00000000  
  0x0002c = 0x00000000  
  0x0002d = 0x00000000  
  0x0002e = 0x00000000  
  0x0002f = 0x00000000  
  0x00030 = 0x00000000  
  0x00031 = 0x00000000  
  0x00032 = 0x00000000  
  0x00038 = 0x13d0e3c2  
  0x00039 = 0x00000000  
  0x0003a = 0x00000000  
  0x0003b = 0x00000000  
  0x0003c = 0x00000000  
  0x00042 = 0x00000000  
  0x00044 = 0x00000000  
  0x00047 = 0x00000000  
  0x00056 = 0x00000000  
  0x000ad = 0x00000000  
  0x000ae = 0xaaa8aa82  
  0x000b0 = 0x22222222  
  0x000b1 = 0xdeafbead  
  0x000b2 = 0xdeafbead  
  0x000b3 = 0xdeafbead  
  0x000b4 = 0x02222220  
  0x000b5 = 0xdeafbead  
  0x000b6 = 0xdeafbead  
  0x000b7 = 0xdeafbead  
  0x000b8 = 0x00000081  
  0x000b9 = 0xdeafbead  
  0x000ba = 0xdeafbead  
  0x000bb = 0xdeafbead  
  0x000bc = 0x0000f3cf  
  0x000bd = 0xdeafbead  
  0x000be = 0xdeafbead  
  0x000bf = 0xdeafbead  
  0x000c0 = 0x22222222  
  0x000c1 = 0xdeafbead  
  0x000c2 = 0xdeafbead  
  0x000c3 = 0xdeafbead  
